"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/faaez/Documents/CS/dominion/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 13, 122
"/Users/faaez/Documents/CS/dominion/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 5, 25
"/Users/faaez/Documents/CS/dominion/components/ui/toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 115, 0, 0, 13, 128
"/Users/faaez/Documents/CS/dominion/components/ui/toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 4, 27
"/Users/faaez/Documents/CS/dominion/components/ui/use-toast.ts", "TypeScript", 0, 159, 0, 0, 0, 0, 3, 31, 193
"/Users/faaez/Documents/CS/dominion/lib/utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"/Users/faaez/Documents/CS/dominion/next.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 2, 2, 7
"/Users/faaez/Documents/CS/dominion/package-lock.json", "JSON", 0, 0, 0, 5513, 0, 0, 0, 1, 5514
"/Users/faaez/Documents/CS/dominion/package.json", "JSON", 0, 0, 0, 47, 0, 0, 0, 1, 48
"/Users/faaez/Documents/CS/dominion/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/faaez/Documents/CS/dominion/tailwind.config.js", "JavaScript", 75, 0, 0, 0, 0, 0, 1, 0, 76
"/Users/faaez/Documents/CS/dominion/tailwind.config.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 2, 21
"/Users/faaez/Documents/CS/dominion/tsconfig.json", "JSON with Comments", 0, 0, 25, 0, 0, 0, 2, 1, 28
"Total", "-", 158, 266, 25, 5579, 2226, 66, 40, 370, 8730
